iter	Passed	Remaining
0	422	72667
1	731	62555
2	1120	63479
3	1483	62665
4	1894	63666
5	2203	61335
6	2586	61342
7	2879	59394
8	3260	59409
9	3557	57987
10	3842	56592
11	4201	56365
12	4524	55680
13	4892	55563
14	5174	54505
15	5565	54606
16	5849	53682
17	6181	53226
18	6551	53100
19	6923	52964
20	7287	52746
21	7589	52090
22	7952	51864
23	8252	51232
24	8515	50409
25	8839	49974
26	9153	49495
27	9507	49235
28	9827	48798
29	10103	48159
30	10375	47527
31	10686	47087
32	11037	46824
33	11319	46278
34	11691	46096
35	11963	45526
36	12258	45057
37	12515	44462
38	12816	44034
39	13088	43518
40	13442	43278
41	13766	42937
42	13938	42138
43	14196	41620
44	14560	41417
45	14866	41044
46	15204	40760
47	15552	40502
48	15903	40245
49	16178	39799
50	16426	39295
51	16804	39103
52	17103	38725
53	17337	38207
54	17903	38410
55	18283	38198
56	18526	37703
57	18851	37378
58	19132	36966
59	19443	36618
60	19693	36158
61	19931	35683
62	20199	35268
63	20489	34896
64	20772	34514
65	21173	34326
66	21554	34100
67	21810	33678
68	22098	33307
69	22369	32915
70	22656	32548
71	22958	32205
72	23229	31821
73	23516	31460
74	23808	31109
75	24076	30729
76	24339	30344
77	24582	29940
78	24976	29718
79	25258	29362
80	25546	29016
81	25801	28633
82	26078	28277
83	26342	27910
84	26616	27556
85	26870	27183
86	27131	26820
87	27419	26485
88	27672	26118
89	27925	25753
90	28216	25425
91	28834	25387
92	29099	25032
93	29353	24669
94	29617	24317
95	30090	24134
96	30432	23843
97	30741	23526
98	31016	23184
99	31426	22941
100	31805	22673
101	32129	22364
102	32375	22002
103	32624	21645
104	32957	21344
105	33195	20982
106	33482	20652
107	33725	20297
108	34077	20009
109	34350	19673
110	34601	19326
111	34858	18985
112	35112	18643
113	35363	18301
114	35674	17992
115	35897	17639
116	36158	17306
117	36414	16972
118	36652	16632
119	36898	16296
120	37161	15970
121	37426	15645
122	37678	15316
123	37989	15012
124	38251	14688
125	38492	14358
126	38679	14009
127	39010	13714
128	39278	13397
129	39607	13100
130	39901	12792
131	40175	12478
132	40499	12180
133	40778	11868
134	41024	11547
135	41311	11239
136	41576	10925
137	41830	10609
138	42076	10292
139	42328	9977
140	42620	9672
141	42868	9358
142	43137	9049
143	43473	8754
144	43712	8440
145	43990	8135
146	44256	7827
147	44508	7518
148	44734	7205
149	45092	6914
150	45393	6613
151	45660	6308
152	45999	6012
153	46319	5714
154	46556	5406
155	46877	5108
156	47163	4806
157	47390	4499
158	47622	4193
159	47955	3896
160	48214	3593
161	48489	3292
162	48813	2994
163	49055	2692
164	49307	2390
165	49551	2089
166	49820	1789
167	50093	1490
168	50381	1192
169	50656	893
170	50916	595
171	51167	297
172	51562	0
